id,brand_name,presentation,dosage_raw,dci,labo_name,therapeutic_class,status,atc_code,price_ppv,price_hospital,toxicity_class,product_type,indications,is_psychoactive,contraindications,min_age,source_url
15,"ACICLOVIR VIATRIS 250 MG, Poudre pour solution injectable (IV)",Boite de 5 flacons de 10 ML,250 MG,Aciclovir,VIATRIS PHARMACEUTICALS,Antiviral,Commercialisé,J05AB01,628.0,417.0,A,Médicament,"CHEZ LE SUJET IMMUNODÉPRIMÉ
- Infections à virus Varicelle Zona (VZV),
- Infection à virus Herpes Simplex (HSV).
CHEZ LE SUJET IMMUNOCOMPTENT
Infections à VZV
- Zona grave par l'extension ou par l'évolutivité des lésions,
- Varicelle chez la femme enceinte dont l'éruption survient dans les 8 à 10 jours avant l'accouchement,
- Varicelle du nouveau-né,
- Le nouveau-né avant toute éruption, lorsque la mère a débuté une varicelle dans les 5 jours précédents et les 2 jours suivants l'accouchement,
- Formes graves de varicelle chez l'enfant de moins de 1 an,
- Varicelle compliquée, en particulier de pneumopathie varicelleuse,
Infections à HSV
- Primo-infection génitale herpétique sévère,
- Traitement des gingivo-stomatites herpétiques aiguës, lorsque la gêne fonctionnelle rend la voie orale impossible,
- Traitement du syndrome de Kaposi Juliusberg,
- Traitement de la méningo-encéphalite herpétique.",false,,,
16,"ACIDE ALENDRONIQUE GT 70 MG, Comprimé pelliculé",Boîte de 4,70 MG,Alendronate,ATLAS PHARM,"Régulateur du métabolisme osseux, bisphosphonate",Commercialisé,M05BA04,164.5,102.8,A,Médicament,"Régulateur du métabolisme osseux, bisphosphonate",false,,,
17,"ACIDE ZOLEDRONIQUE MYLAN 4 MG / 5 ML, Solution à diluer pour perfusion",Flacon de 5 ml,4 MG / 5 ML,Acide zolédronique,VIATRIS PHARMACEUTICALS,"Médicaments pour le traitement de maladies osseuses, bisphosphonate.",Commercialisé,M05BA08,1356.0,1088.0,A,Médicament,"La substance active contenue est l’acide zolédronique qui appartient à un groupe de substances appelées bisphosphonates.

L’acide zolédronique agit en s’attachant à l’os et en ralentissant le taux de renouvellement osseux. Il est utilisé :

- pour prévenir les complications osseuses, ex. fractures, chez les patients adultes ayant des métastases osseuses (diffusion du cancer du site principal à l’os) ;

- pour diminuer le taux de calcium dans le sang des patients adultes lorsque celui-ci est élevé en raison de la présence d’une tumeur. Les tumeurs peuvent accélérer le renouvellement osseux habituel de sorte que la quantité de calcium libéré par l’os est augmentée. Cette pathologie est appelée hypercalcémie induite par les tumeurs.",false,,,
18,"ACIDE ZOLEDRONIQUE PROMOPHARM 4 MG / 5 ML, Solution à diluer pour perfusion",Boite de 1 flacon de 5 ML,4 MG / 5 ML,Acide zolédronique,PROMOPHARM (HIKMA),"Médicaments pour le traitement de maladies osseuses, bisphosphonate.",Commercialisé,M05BA08,1356.0,1088.0,A,,"La substance active contenue est l’acide zolédronique qui appartient à un groupe de substances appelées bisphosphonates.

L’acide zolédronique agit en s’attachant à l’os et en ralentissant le taux de renouvellement osseux. Il est utilisé :

- pour prévenir les complications osseuses, ex. fractures, chez les patients adultes ayant des métastases osseuses (diffusion du cancer du site principal à l’os) ;

- pour diminuer le taux de calcium dans le sang des patients adultes lorsque celui-ci est élevé en raison de la présence d’une tumeur. Les tumeurs peuvent accélérer le renouvellement osseux habituel de sorte que la quantité de calcium libéré par l’os est augmentée. Cette pathologie est appelée hypercalcémie induite par les tumeurs.",false,,,
19,"ACIDE ZOLEDRONIQUE SP 4 MG / 5 ML, Solution à diluer pour perfusion",Boite de 1 flacon de 5 ml,4 MG / 5 ML,Acide zolédronique,AMANYS PHARMA (Ex SAHAM PHARMA),"Médicaments pour le traitement de maladies osseuses, bisphosphonate.",Commercialisé,M05BA08,1255.0,983.0,A,,"La substance active contenue est l’acide zolédronique qui appartient à un groupe de substances appelées bisphosphonates.

L’acide zolédronique agit en s’attachant à l’os et en ralentissant le taux de renouvellement osseux. Il est utilisé :

- pour prévenir les complications osseuses, ex. fractures, chez les patients adultes ayant des métastases osseuses (diffusion du cancer du site principal à l’os) ;

- pour diminuer le taux de calcium dans le sang des patients adultes lorsque celui-ci est élevé en raison de la présence d’une tumeur. Les tumeurs peuvent accélérer le renouvellement osseux habituel de sorte que la quantité de calcium libéré par l’os est augmentée. Cette pathologie est appelée hypercalcémie induite par les tumeurs.",false,,,
20,"ACIGAM 100 MG, Comprimé sécable",Boite de 30,100 MG,Acide tiaprofénique,BOTTU S.A.,Anti-inflammatoire non stéroïdien,Commercialisé,M01AE11,27.0,16.9,C,,"Elles sont limitées, chez l’adulte et l’enfant à partir de 15 kg (soit environ à partir de 4 ans), au :
- traitement symptomatique au long cours :
* des rhumatismes inflammatoires chroniques, notamment polyarthrite rhumatoïde,
* de certaines arthroses douloureuses et invalidantes ;
- traitement symptomatique de courte durée :
* des poussées aiguës d’arthrose, de lombalgies,
* des affections aiguës post-traumatiques bénignes de l’appareil locomoteur ;
- dysménorrhée après recherche étiologique ;
- traitement symptomatique de la douleur au cours des manifestations inflammatoires dans les domaines ORL et stomatologiques. Dans cette indication, les risques encourus, en particulier l’extension d’un processus septique concomitant sont ceux des AINS. Ils doivent être évalués par rapport au bénéfice antalgique attendu.",false,,,
21,"ACIGAM 200 MG, Comprimé sécable",Boite de 20,200 MG,Acide tiaprofénique,BOTTU S.A.,Anti-inflammatoire non stéroïdien,Commercialisé,M01AE11,33.6,21.0,C,,"Elles sont limitées, chez l’adulte et l’enfant à partir de 15 kg (soit environ à partir de 4 ans), au :
- traitement symptomatique au long cours :
* des rhumatismes inflammatoires chroniques, notamment polyarthrite rhumatoïde,
* de certaines arthroses douloureuses et invalidantes ;
- traitement symptomatique de courte durée :
* des poussées aiguës d’arthrose, de lombalgies,
* des affections aiguës post-traumatiques bénignes de l’appareil locomoteur ;
- dysménorrhée après recherche étiologique ;
- traitement symptomatique de la douleur au cours des manifestations inflammatoires dans les domaines ORL et stomatologiques. Dans cette indication, les risques encourus, en particulier l’extension d’un processus septique concomitant sont ceux des AINS. Ils doivent être évalués par rapport au bénéfice antalgique attendu.",false,,,
22,"ACLASTA 5 MG / 100 ML, Solution pour perfusion",Flacon de 100 ml,5 MG / 100 ML,Acide zolédronique,SOTHEMA,"Médicaments pour le traitement de maladies osseuses, bisphosphonate.",Commercialisé,M05BA08,3041.0,2718.0,A,Médicament,,false,,,
23,"ACLAV 1 G / 125 MG, Sachet",Boîte de 14,1 G | 125 MG,Amoxicilline | Acide clavulanique,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,107.5,67.2,A,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",false,,,
24,"ACLAV 1 G / 125 MG, Sachet",Boîte de 16,1 G | 125 MG,Amoxicilline | Acide clavulanique,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,123.4,77.1,A,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",false,,,
25,"ACLAV 1 G / 125 MG, Sachet",Boîte de 24,1 G | 125 MG,Amoxicilline | Acide clavulanique,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,174.8,109.2,A,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",false,,,
26,"ACLAV 1 G / 125 MG, Sachet",Boîte de 12,99,Amoxicilline | Acide clavulanique,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,92.5,57.8,A,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",false,,,
27,"ACLAV 1 G / 200 MG ADULTE, Suspension injectable",Boîte de 1 flacon,1 G | 200 MG,Amoxicilline | Acide clavulanique,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,30.8,19.3,A,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",false,,,
28,"ACLAV 100 MG / 12,5 ML, Poudre pour suspension buvable",2 flacons de 60 ml,"100 MG | 12,5 M",Amoxicilline | Acide clavulanique,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,105.3,65.8,A,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",false,,,
29,"ACLAV 100 MG / 12,5 ML, Poudre pour suspension buvable",2 flacons de 30 ml,"100 MG | 12,5 ML",Amoxicilline | Acide clavulanique,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,60.5,37.8,A,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",false,,,
30,"ACLAV 100 MG / 12.5 ML, Poudre pour suspension buvable",Flacon de 30 ml,"100 MG | 12,5 ML",Amoxicilline | Acide clavulanique,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,34.2,21.4,A,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",false,,,
31,"ACLAV 2 G / 200 MG ADULTE, Suspension injectable",Une boite unitaire,2 G | 200 MG,Amoxicilline | Acide clavulanique,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,43.0,26.9,A,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",false,,,
32,"ACLAV 500 MG / 50 MG, Poudre pour préparation injectable",Boite contenant un flacon,500 MG | 50 MG,Amoxicilline | Acide clavulanique,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,18.7,11.7,A,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",false,,,
33,"ACLAV 500 MG / 62,5 MG, Sachet",Boîte de 16,"500 MG | 62,5 MG",Amoxicilline | Acide clavulanique,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,99.5,62.2,A,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",false,,,
34,"ACLAV 500 MG / 62,5 MG, Sachet",Boîte de 24,"500 MG | 62,5 MG",Amoxicilline | Acide clavulanique,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,113.5,71.0,A,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",false,,,
35,"ACLAV 500 MG / 62.5 MG, Sachet",Boîte de 12,500 MG | 62.5 MG,Amoxicilline | Acide clavulanique,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,74.6,46.6,A,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",false,,,
36,"ACNO 10 MG, Capsule molle",Boîtede 30,10 MG,Isotrétinoïne,ZENITH PHARMA,"Antiacnéique systémique, rétinoïde",Commercialisé,D10BA01,142.1,88.8,A,Médicament,Formes sévères d'acné s'étant révélées résistantes à des cycles thérapeutiques standard adéquats avec des antibiotiques systémiques et des traitements topiques.,false,"L’isotrétinoïne est contre-indiquée chez les femmes enceintes ou qui allaitent.

L’isotrétinoïne est contre-indiquée chez les femmes en âge de procréer sauf si toutes les conditions du « Programme de prévention de la grossesse » sont remplies.

L’isotrétinoïne est également contre-indiquée en cas de :

· hypersensibilité à la substance active ou à l’un des excipients.
· insuffisance hépatique ;
· hyperlipidémie ;
· hypervitaminose A;
· association avec les tétracyclines;
· prise concomitante de vitamine A;

· prise concomitante d’autres rétinoïdes (acitrétine, alitrétinoïne).",,
37,"ACNO 20 MG, Capsule molle",Boîte de 30,20 MG,Isotrétinoïne,ZENITH PHARMA,"Antiacnéique systémique, rétinoïde",Commercialisé,D10BA01,269.0,179.1,A,Médicament,Formes sévères d'acné s'étant révélées résistantes à des cycles thérapeutiques standard adéquats avec des antibiotiques systémiques et des traitements topiques.,false,"L’isotrétinoïne est contre-indiquée chez les femmes enceintes ou qui allaitent.

L’isotrétinoïne est contre-indiquée chez les femmes en âge de procréer sauf si toutes les conditions du « Programme de prévention de la grossesse » sont remplies.

L’isotrétinoïne est également contre-indiquée en cas de :

· hypersensibilité à la substance active ou à l’un des excipients.
· insuffisance hépatique ;
· hyperlipidémie ;
· hypervitaminose A;
· association avec les tétracyclines;
· prise concomitante de vitamine A;

· prise concomitante d’autres rétinoïdes (acitrétine, alitrétinoïne).",,
38,"ACNO 20 MG, Capsule molle",Boîte de 60,20 MG,Isotrétinoïne,ZENITH PHARMA,"Antiacnéique systémique, rétinoïde",Commercialisé,D10BA01,497.0,330.0,A,Médicament,Formes sévères d'acné s'étant révélées résistantes à des cycles thérapeutiques standard adéquats avec des antibiotiques systémiques et des traitements topiques.,false,,,
